From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
DocumentalRetention;name;15 AÑOS;Trd;name;GESTION=1 Y CENTRAL=15;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;15 AÑOS;Trd;name;GESTION=1 Y CENTRAL=15;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;15 AÑOS;Trd;name;GESTION=1 Y CENTRAL=15;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=1 Y CENTRAL=2;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=1 Y CENTRAL=2;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=1 Y CENTRAL=2;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=1 Y CENTRAL=2;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=1 Y CENTRAL=2;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=1 Y CENTRAL=2;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=1 Y CENTRAL=2;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=1 Y CENTRAL=2;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;3 AÑOS;Trd;name;GESTION=1 Y CENTRAL=3;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;3 AÑOS;Trd;name;GESTION=1 Y CENTRAL=3;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 AÑOS;Trd;name;GESTION=1 Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 AÑOS;Trd;name;GESTION=1 Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 AÑOS;Trd;name;GESTION=1 Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 AÑOS;Trd;name;GESTION=1 Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 AÑOS;Trd;name;GESTION=1 Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 AÑOS;Trd;name;GESTION=1 Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 AÑOS;Trd;name;GESTION=1 Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 AÑOS;Trd;name;GESTION=1 Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 AÑOS;Trd;name;GESTION=1 Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 AÑOS;Trd;name;GESTION=1 Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 AÑOS;Trd;name;GESTION=1 Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 AÑOS;Trd;name;GESTION=1 Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 AÑOS;Trd;name;GESTION=1 Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 AÑOS;Trd;name;GESTION=1 Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 AÑOS;Trd;name;GESTION=1 Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;50 AÑOS;Trd;name;GESTION=1 Y CENTRAL=50;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;INDEFINIDO;Trd;name;GESTION=1 Y CENTRAL=INDEFINIDO;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;INDEFINIDO;Trd;name;GESTION=1 Y CENTRAL=INDEFINIDO;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;INDEFINIDO;Trd;name;GESTION=1 Y CENTRAL=INDEFINIDO;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=1 Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=1 Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=1 Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=1 Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=1 Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=1 Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=1 Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=1 Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=1 Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=1 Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=1 Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=1 Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=10 Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=10 Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;100 AÑOS;Trd;name;GESTION=2 Y CENTRAL=100;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;20 AÑOS;Trd;name;GESTION=2 Y CENTRAL=20;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
